Data,2024-12-08,
Competição,BR,
Time,Vitória,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,4.5
Rossi,Simões,4
Wesley,B10,6.5
Wesley,Simões,6.5
Léo Ortiz,B10,6.5
Léo Ortiz,Simões,6.5
Carbone,B10,7
Carbone,Simões,7
Alex Sandro,B10,7
Alex Sandro,Simões,7.5
Pulgar,B10,6
Pulgar,Simões,6.5
De La Cruz,B10,5
De La Cruz,Simões,5
Gerson,B10,5.5
Gerson,Simões,5
Bruno Henrique,B10,6.5
Bruno Henrique,Simões,6.5
Matheus Gonçalves,B10,6
Matheus Gonçalves,Simões,6
Carlos Alcaraz,B10,5
Carlos Alcaraz,Simões,5
Matheus Cunha,B10,5
Matheus Cunha,Simões,5
Varela,B10,5
Varela,Simões,5.5


Ayrton Lucas,B10,5.5
Ayrton Lucas,Simões,5
Evertton Araújo,B10,8
Evertton Araújo,Simões,8

Michael,B10,6.5
Michael,Simões,6.5
